repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
lvgl,11176,2289,C,https://github.com/lvgl/lvgl,lvgl,41,2023-01-28T07:09:25Z,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type. It's boosted by a professional yet affordable drag and drop UI editor, called SquareLine Studio."
openresty,11088,1451,C,https://github.com/openresty/openresty,openresty,256,2023-01-19T14:01:11Z,High Performance Web Platform Based on Nginx and LuaJIT
webview,10842,845,C,https://github.com/webview/webview,webview,170,2023-01-23T21:14:24Z,Tiny cross-platform webview library for C/C++/Golang. Uses WebKit (Gtk/Cocoa) and Edge (Windows)
OpenCorePkg,10837,1919,C,https://github.com/acidanthera/OpenCorePkg,acidanthera,0,2023-01-26T22:45:17Z,OpenCore bootloader
libsodium,10715,1642,C,https://github.com/jedisct1/libsodium,jedisct1,0,2023-01-27T19:04:20Z,"A modern, portable, easy to use crypto library."
systemd,10643,3207,C,https://github.com/systemd/systemd,systemd,1809,2023-01-28T10:44:30Z,The systemd System and Service Manager
rofi,10551,569,C,https://github.com/davatorium/rofi,davatorium,38,2023-01-26T08:25:09Z,"Rofi: A window switcher, application launcher and dmenu replacement"
lua-nginx-module,10456,1991,C,https://github.com/openresty/lua-nginx-module,openresty,275,2023-01-28T18:30:31Z,Embed the Power of Lua into NGINX HTTP servers
libui,10392,615,C,https://github.com/andlabs/libui,andlabs,173,2022-07-30T22:52:58Z,Simple and portable (but not inflexible) GUI library in C that uses the native GUI technologies of each platform it supports.
seafile,10372,1484,C,https://github.com/haiwen/seafile,haiwen,151,2023-01-24T17:00:02Z,"High performance file syncing and sharing, with also Markdown WYSIWYG editing, Wiki, file label and other knowledge management features."
BlackHole,10326,432,C,https://github.com/ExistentialAudio/BlackHole,ExistentialAudio,0,2023-01-19T18:01:08Z,BlackHole is a modern macOS virtual audio driver that allows applications to pass audio to other applications with zero additional latency.
cosmopolitan,10324,337,C,https://github.com/jart/cosmopolitan,jart,62,2023-01-28T17:12:13Z,build-once run-anywhere c library
h2o,10260,816,C,https://github.com/h2o/h2o,h2o,560,2023-01-28T18:37:51Z,"H2O - the optimized HTTP/1, HTTP/2, HTTP/3 server"
vlc,10256,3301,C,https://github.com/videolan/vlc,videolan,0,2023-01-28T15:10:05Z,"VLC media player - All pull requests are ignored, please follow https://wiki.videolan.org/Sending_Patches_VLC/"
